Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,floor_number,total_floor,Area Locality Encoded
2022-05-10,2,22000,1100,2 out of 3,1,Dumdum Park,4,2,1,1,2,2.0,3.0,526
2022-05-12,1,15000,850,1 out of 2,1,Sreebhumi,4,1,1,1,2,1.0,2.0,1893
2022-06-03,1,12500,800,2 out of 2,1,Shyam Bazar,4,2,0,1,0,2.0,2.0,1855
2022-05-31,1,7000,630,Ground out of 3,1,Birati,4,2,0,1,2,0.0,3.0,312
2022-06-10,1,21000,900,1 out of 2,1,Bansdroni,4,1,0,2,2,1.0,2.0,231
2022-06-24,0,10000,270,1 out of 2,1,Jadavpur University,4,1,1,1,2,1.0,2.0,818
2022-06-29,1,7200,630,Ground out of 1,1,Birati,4,1,1,1,2,0.0,1.0,312
2022-05-12,2,12000,1500,Ground out of 2,1,Bhadrakali,4,0,0,2,2,0.0,2.0,276
2022-06-26,0,5000,600,2 out of 5,2,Behala,4,2,1,1,2,2.0,5.0,260
2022-04-30,1,8500,700,4 out of 14,1,Baruipur,4,1,1,1,2,4.0,14.0,240
2022-05-27,0,6000,300,Ground out of 3,2,Ballygunge,4,1,1,1,2,0.0,3.0,213
2022-06-06,1,10000,1300,Ground out of 1,2,Kalikapur,4,1,2,2,2,0.0,1.0,911
2022-05-20,1,4600,400,3 out of 3,1,Behala,4,1,0,1,2,3.0,3.0,260
2022-07-02,1,12000,650,Ground out of 1,2,"Baishnabghata Patuli Township, Patuli",4,2,2,2,2,0.0,1.0,200
2022-05-26,2,30000,2000,Ground out of 2,2,Behala,4,1,1,2,2,0.0,2.0,260
2022-05-12,2,15000,1068,Ground out of 3,2,Bansdroni,4,1,1,2,2,0.0,3.0,231
2022-06-22,0,7500,150,1 out of 1,2,Salt Lake City,4,0,1,1,2,1.0,1.0,1758
2022-06-25,0,7500,450,2 out of 2,1,New Town,4,2,0,1,2,2.0,2.0,1400
2022-07-03,1,5000,800,Ground out of 1,1,Baruipur,4,2,1,1,2,0.0,1.0,240
2022-04-23,1,15000,1000,Ground out of 2,2,Bansdroni,4,2,1,2,2,0.0,2.0,231
2022-05-14,1,11000,900,5 out of 5,2,Pancha Sayar,4,1,0,1,2,5.0,5.0,1481
2022-05-27,0,7000,600,Ground out of 2,1,Behala,4,2,1,1,2,0.0,2.0,260
2022-06-19,1,6000,1200,1 out of 1,2,Hooghly-Chinsurah,4,2,1,1,2,1.0,1.0,744
2022-06-19,1,6000,1200,2 out of 2,2,Hooghly-Chinsurah,4,1,0,2,2,2.0,2.0,744
2022-07-02,1,7000,650,Ground out of 3,2,"Amtala, Diamond Harbour Road",4,1,1,2,2,0.0,3.0,99
2022-07-06,1,8500,720,4 out of 4,1,"Shrachi Village, Madhyam Gram",4,1,1,2,2,4.0,4.0,1850
2022-07-02,0,5000,300,1 out of 3,1,Kasba,4,2,0,1,2,1.0,3.0,964
2022-06-21,2,30000,1200,Ground out of 2,1,VIP Road Haldiram,4,2,1,3,0,0.0,2.0,2045
2022-06-04,1,10000,700,7 out of 8,1,Sarsuna,4,2,1,2,2,7.0,8.0,1795
2022-06-24,2,30000,2000,1 out of 3,2,Naihati,4,1,1,2,2,1.0,3.0,1330
2022-05-14,0,3500,250,Ground out of 4,2,Baksara,4,1,1,1,2,0.0,4.0,204
2022-06-26,1,8000,1100,Ground out of 3,1,Naihati,4,2,0,1,2,0.0,3.0,1330
2022-07-02,0,5000,300,Ground out of 2,1,Kasba,4,2,1,1,2,0.0,2.0,964
2022-05-05,1,7500,600,Ground out of 2,2,"Amtala, Diamond Harbour Road",4,1,1,1,2,0.0,2.0,99
2022-05-18,1,6500,800,Ground out of 2,1,"Chak Thakurani, Thakurpukur",4,2,1,1,2,0.0,2.0,363
2022-06-07,0,7500,680,1 out of 3,2,Jadavpur,4,2,1,1,2,1.0,3.0,817
2022-06-07,0,7500,680,Ground out of 2,2,Jadavpur,4,2,1,1,2,0.0,2.0,817
2022-06-26,1,16000,850,1 out of 4,1,Salt Lake City Sector 1,4,1,0,1,0,1.0,4.0,1759
2022-06-26,1,16000,850,1 out of 2,1,Salt Lake City Sector 1,4,1,0,1,0,1.0,2.0,1759
2022-05-30,1,6500,700,Ground out of 2,2,Bandel,4,2,0,1,2,0.0,2.0,221
2022-05-22,2,40000,1500,Ground out of 2,2,Beliaghata,4,2,1,2,2,0.0,2.0,266
2022-06-18,1,12500,950,1 out of 4,2,"Magnolia Prestige, Rajarhat",4,1,1,2,2,1.0,4.0,1157
2022-06-08,1,5500,500,Ground out of 2,2,"Baishnabghata Patuli Township, Patuli",4,2,1,1,2,0.0,2.0,200
2022-06-25,0,5000,450,2 out of 4,1,"Dum Dum Heights, Jessore Road",4,1,1,1,2,2.0,4.0,524
2022-05-03,1,6500,700,Ground out of 2,2,Sonarpur,4,2,0,1,2,0.0,2.0,1887
2022-05-12,0,8000,500,1 out of 2,2,Lake Town,4,2,1,1,2,1.0,2.0,1089
2022-06-01,2,14500,1800,Ground out of 2,2,Belghoria,4,1,1,2,2,0.0,2.0,265
2022-05-23,0,8200,500,1 out of 3,1,"Rabindra Pally, Keshtopur",4,1,1,1,2,1.0,3.0,1598
2022-05-23,1,15000,480,Ground out of 3,1,shukhobrishti,4,0,1,2,2,0.0,3.0,2220
2022-06-21,5,20000,1000,1 out of 1,2,Sonarpur,4,1,1,2,2,1.0,1.0,1887
2022-06-22,1,6700,800,1 out of 2,2,"Baishnavghata patuli , house number s-300 Kolkata 700094",4,0,1,1,2,1.0,2.0,203
2022-05-27,0,10000,435,2 out of 3,2,Kasba,4,2,1,1,2,2.0,3.0,964
2022-05-07,1,7000,700,Ground out of 2,1,Dum Dum Metro,4,1,1,2,0,0.0,2.0,525
2022-06-25,1,22000,800,4 out of 4,2,"Hazra, Kalighat",4,0,1,1,0,4.0,4.0,707
2022-06-27,1,6500,450,1 out of 3,2,Ajoy Nagar,4,2,1,1,2,1.0,3.0,57
2022-05-31,1,8500,550,2 out of 3,1,Kasba -East,4,1,1,1,0,2.0,3.0,965
2022-06-03,1,18000,800,Ground out of 4,1,Salt Lake City,4,2,0,2,0,0.0,4.0,1758
2022-06-27,1,12000,550,Ground out of 2,1,Baghajatin,4,1,2,2,2,0.0,2.0,196
2022-05-15,0,9000,600,2 out of 4,2,Behala,4,0,1,1,2,2.0,4.0,260
2022-06-09,0,6000,500,Ground out of 1,2,"New Garia, Garia",4,2,1,1,2,0.0,1.0,1390
2022-04-28,1,20000,1000,1 out of 2,2,Anandapur,4,0,1,2,2,1.0,2.0,107
2022-05-23,0,5000,300,1 out of 2,1,Dum Dum Metro,4,2,1,1,2,1.0,2.0,525
2022-06-28,1,12000,1200,1 out of 3,2,Boral,4,0,1,2,2,1.0,3.0,327
2022-06-23,1,10000,500,3 out of 4,1,"Rabindra Pally, Keshtopur",4,1,1,1,2,3.0,4.0,1598
2022-04-29,3,18000,1200,1 out of 2,2,Bagbazar,4,2,2,2,2,1.0,2.0,194
2022-06-13,1,15000,900,1 out of 2,1,Salt Lake City Sector 1,4,1,1,2,0,1.0,2.0,1759
2022-06-13,2,22000,1300,Ground out of 2,1,Salt Lake City Sector 2,4,2,1,3,0,0.0,2.0,1760
2022-06-13,3,35000,1600,1 out of 5,1,Salt Lake City Sector 3,4,2,1,3,0,1.0,5.0,1761
2022-05-14,2,21000,1450,Ground out of 1,2,Ajoy Nagar,4,2,2,2,2,0.0,1.0,57
2022-07-06,1,25000,1100,2 out of 2,2,"Action Area 1, Rajarhat Newtown",4,0,0,2,0,2.0,2.0,29
2022-06-16,1,180000,950,Ground out of 1,1,"Avenue S, Santoshpur",4,2,1,2,2,0.0,1.0,167
2022-06-06,0,6000,600,8 out of 5,1,Pratiraksha Nagar,4,2,1,1,2,8.0,5.0,1559
2022-07-04,1,14000,700,Ground out of 2,1,"Kudghat, Ashok Nagar",4,2,1,2,2,0.0,2.0,1052
2022-05-15,2,8000,750,Ground out of 2,2,"Sakher Bazar, Purba Barisha",4,2,2,1,2,0.0,2.0,1751
2022-05-04,1,8000,1000,Ground out of 1,2,"Purbasan, Thakurpukur",4,2,1,1,2,0.0,1.0,1580
2022-04-25,0,6000,220,Ground out of 2,2,"Bidhan Pally, Bansdroni",4,0,1,1,2,0.0,2.0,304
2022-05-21,0,8000,300,1 out of 3,1,"Naktala, Garia",4,1,0,1,0,1.0,3.0,1333
2022-06-27,0,6000,300,Ground out of 1,1,Tiljala Road,4,2,1,1,0,0.0,1.0,2001
2022-07-02,0,20000,700,1 out of 2,2,Sankaritola,4,1,1,1,2,1.0,2.0,1774
2022-07-06,2,12000,800,Ground out of 1,2,"Parnashree Lake, Behala",4,2,1,2,2,0.0,1.0,1497
2022-04-28,2,15000,1600,1 out of 3,2,Garia,4,2,1,2,2,1.0,3.0,611
2022-05-15,1,14000,1000,1 out of 3,1,Kasba,4,2,1,2,2,1.0,3.0,964
2022-05-30,0,5000,20,2 out of 3,2,Dakshineswar,4,2,1,1,2,2.0,3.0,458
2022-06-10,1,7000,400,Ground out of 2,1,chatana,4,2,1,1,2,0.0,2.0,2169
2022-06-23,0,3900,200,2 out of 2,2,Shyam Bazar,4,0,1,1,2,2.0,2.0,1855
2022-06-09,2,14000,840,1 out of 4,1,Mukundapur,4,2,0,2,2,1.0,4.0,1294
2022-06-19,0,6300,300,1 out of 1,1,Salt Lake City Sector 5,4,2,1,1,0,1.0,1.0,1762
2022-07-03,1,13000,550,1 out of 2,1,Salt Lake City Sector 5,4,0,1,2,0,1.0,2.0,1762
2022-07-03,0,6800,300,1 out of 2,1,Salt Lake City Sector 5,4,2,1,1,0,1.0,2.0,1762
2022-05-14,1,8000,800,1 out of 1,2,Behala Chowrasta,4,2,1,2,2,1.0,1.0,261
2022-05-10,1,10000,740,Ground out of 6,1,Sonarpur,4,2,0,1,2,0.0,6.0,1887
2022-04-25,1,18000,1300,1 out of 1,2,Santoshpur,4,2,1,2,2,1.0,1.0,1780
2022-06-13,1,8000,650,Ground out of 1,2,"Garia Station, Garia",4,1,1,1,2,0.0,1.0,613
2022-05-06,1,8000,490,1 out of 1,2,Entally,4,1,1,1,2,1.0,1.0,564
2022-06-08,0,4700,250,2 out of 2,2,Kaikhali,4,0,1,1,2,2.0,2.0,900
2022-06-08,0,4700,250,Ground out of 1,2,"Dash Drone, Rajarhat Newtown",4,0,1,1,2,0.0,1.0,462
2022-05-06,0,4500,450,1 out of 2,2,"Rabindra Pally, Keshtopur",4,2,1,1,2,1.0,2.0,1598
2022-06-30,0,6000,300,Ground out of 1,1,Salt Lake City Sector 1,4,1,1,1,2,0.0,1.0,1759
2022-06-24,1,16000,750,1 out of 3,2,"Rajdanga Gardens, Kasba",4,2,1,2,2,1.0,3.0,1632
2022-07-01,0,4700,250,1 out of 2,2,Kaikhali,4,0,1,1,2,1.0,2.0,900
2022-06-17,1,14000,751,3 out of 3,1,Baghajatin,4,2,0,1,2,3.0,3.0,196
2022-06-26,1,9000,900,Ground out of 2,1,Lake Town,4,1,0,1,2,0.0,2.0,1089
2022-06-23,1,5000,400,1 out of 3,1,Keshtopur,4,1,1,1,2,1.0,3.0,991
2022-06-13,1,17500,1000,Ground out of 2,1,Salt Lake City,4,1,1,2,0,0.0,2.0,1758
2022-06-11,1,8500,1000,Ground out of 1,1,South Baksara,4,2,1,1,2,0.0,1.0,1889
2022-05-26,2,15000,1500,1 out of 1,1,"Chandannagar, Hooghly-Chinsurah",4,1,2,2,2,1.0,1.0,377
2022-04-25,1,12500,750,1 out of 3,1,"Sukhpally, Haltu",4,2,1,2,2,1.0,3.0,1921
2022-05-11,0,13000,1200,2 out of 4,2,Kasba,4,1,1,1,2,2.0,4.0,964
2022-05-06,1,8000,700,Ground out of 1,2,"Sakher Bazar, Purba Barisha",4,2,1,1,2,0.0,1.0,1751
2022-05-10,1,8000,700,4 out of 4,1,Garia Dhalua Nabapally,4,0,1,1,2,4.0,4.0,612
2022-05-21,1,8000,1000,Ground out of 2,2,"Chinar Park, Rajarhat",4,1,1,1,2,0.0,2.0,405
2022-06-12,1,7000,1200,1 out of 3,2,Konnagar,4,2,1,2,2,1.0,3.0,1029
2022-06-05,1,2200,550,2 out of 3,2,Behala silpara,4,0,1,1,2,2.0,3.0,262
2022-06-25,1,8000,800,Ground out of 4,1,Vip Road,4,2,0,1,2,0.0,4.0,2114
2022-06-11,1,5500,280,1 out of 3,2,New Barrakpur,4,2,0,1,2,1.0,3.0,1383
2022-07-04,2,20000,1100,Ground out of 2,2,"Thakurpukur, Kolkata",4,2,1,3,2,0.0,2.0,1976
2022-05-10,1,7000,950,Ground out of 2,2,Kaikhali,4,2,1,1,0,0.0,2.0,900
2022-05-13,0,3500,250,1 out of 2,2,"Phool Bagan, Kankurgachi",4,0,1,1,2,1.0,2.0,1527
2022-05-10,1,5000,1000,Ground out of 2,1,Hindmotor,4,2,0,1,2,0.0,2.0,725
2022-06-30,2,20000,1000,Ground out of 2,1,Salt Lake City Sector 1,4,1,1,2,2,0.0,2.0,1759
2022-05-27,1,7000,650,Ground out of 2,2,Howrah,4,2,1,1,2,0.0,2.0,755
2022-06-08,1,10000,700,1 out of 2,2,Benia Pukur,4,2,1,2,2,1.0,2.0,268
2022-05-15,1,7000,700,Ground out of 3,1,Baguiati,4,2,0,1,2,0.0,3.0,197
2022-06-29,2,12000,1000,Ground out of 3,2,E M Bypass,4,1,1,2,2,0.0,3.0,543
2022-05-13,1,14500,900,1 out of 4,1,"Panchanan Tola, Thakurpukur",4,2,0,2,2,1.0,4.0,1482
2022-05-25,0,6000,700,1 out of 2,2,"VIP Nagar, E M Bypass",4,2,1,1,2,1.0,2.0,2044
2022-07-04,1,9500,700,1 out of 2,2,Jadavpur,4,2,1,2,2,1.0,2.0,817
2022-06-27,1,10000,450,2 out of 1,1,Behala,4,1,1,2,2,2.0,1.0,260
2022-05-06,0,3500,120,Ground out of 3,2,Dum Dum Cantonment,4,2,1,1,2,0.0,3.0,523
2022-06-01,1,9000,800,1 out of 2,2,"New Garia, Garia",4,1,1,2,2,1.0,2.0,1390
2022-06-07,2,40000,1220,2 out of 3,1,Salt Lake City Sector 3,4,2,1,2,2,2.0,3.0,1761
2022-06-23,2,16500,1100,Ground out of 3,2,Mominpur,4,2,1,1,2,0.0,3.0,1278
2022-06-12,2,8000,700,Ground out of 3,1,"Halisahar Station Road, Kanchrapara",4,2,2,2,2,0.0,3.0,691
2022-05-10,1,12000,800,Ground out of 3,2,Santoshpur,4,0,1,1,2,0.0,3.0,1780
2022-06-27,1,6500,670,2 out of 2,2,"Dunlop, Dakshineswar, Belgharia Expressway",4,2,2,1,2,2.0,2.0,527
2022-04-30,3,40000,1300,1 out of 2,2,Ballygunge,4,2,1,3,2,1.0,2.0,213
2022-05-06,0,5000,190,Ground out of 2,2,Baguihati,4,1,1,1,2,0.0,2.0,198
2022-05-24,1,9000,700,Ground out of 2,2,Kabardanga,4,1,1,1,2,0.0,2.0,886
2022-06-17,0,7000,240,Ground out of 4,1,Jadavpur,4,2,0,1,2,0.0,4.0,817
2022-05-19,1,18000,850,2 out of 4,1,Behala Chowrasta,4,1,2,1,2,2.0,4.0,261
2022-05-26,0,9000,950,1 out of 2,2,Haltu,4,2,1,2,2,1.0,2.0,692
2022-06-11,0,5500,450,1 out of 2,1,Botanical Garden Area,4,0,1,1,2,1.0,2.0,330
2022-06-08,1,7500,800,Ground out of 2,1,Bonhooghly,4,2,0,1,2,0.0,2.0,325
2022-07-02,1,4000,600,1 out of 2,1,Nilgung Old Bazar,4,2,1,1,2,1.0,2.0,1404
2022-05-30,2,10500,800,2 out of 2,1,"Teghoria, Baguiati",4,2,0,2,2,2.0,2.0,1969
2022-07-03,2,15000,1100,Ground out of 2,1,Survey Park,4,2,1,2,2,0.0,2.0,1938
2022-06-16,1,15000,800,Ground out of 2,1,Baguiati,4,0,1,1,2,0.0,2.0,197
2022-05-13,0,50000,2200,2 out of 5,2,Kanchrapara,4,0,1,3,2,2.0,5.0,945
2022-06-08,1,12000,950,1 out of 1,1,"Jote Shibrampur, Joth Shibrampur",4,2,0,2,2,1.0,1.0,861
2022-04-25,1,11000,550,2 out of 3,1,Ultadanga,4,2,1,1,2,2.0,3.0,2027
2022-06-04,1,12000,1800,1 out of 1,1,Birati,4,2,0,2,2,1.0,1.0,312
2022-05-11,1,8000,1000,Ground out of 2,2,"Chinar Park, Rajarhat",4,0,1,1,2,0.0,2.0,405
2022-05-27,1,18000,600,Ground out of 3,2,Bagha Jatin Pally,4,1,1,2,2,0.0,3.0,195
2022-04-24,1,8000,750,2 out of 4,1,rishi aurobindo sarani neat NIOH hospital,4,1,1,2,2,2.0,4.0,2213
2022-05-10,1,7000,685,2 out of 3,2,Dum Dum Metro,4,2,1,1,0,2.0,3.0,525
2022-05-24,0,6500,44,Ground out of 1,1,Baranagar,4,0,1,1,2,0.0,1.0,236
2022-06-10,3,13000,1200,Ground out of 2,1,Tollygunge,4,2,1,1,2,0.0,2.0,2009
2022-05-05,1,9000,500,Ground out of 2,1,Airport Near Gate No. 21/2,4,2,0,1,2,0.0,2.0,53
2022-04-29,3,10000,1110,2 out of 2,1,Purbasa,4,2,1,2,2,2.0,2.0,1579
2022-05-05,1,12000,1000,1 out of 3,2,Jadavpur,4,2,1,2,2,1.0,3.0,817
2022-06-26,1,5000,392,Ground out of 2,2,Jadavpur,4,2,1,1,2,0.0,2.0,817
2022-05-09,1,6000,700,1 out of 2,2,Barasat-Barrackpore Road,4,2,1,1,2,1.0,2.0,238
2022-05-19,0,5200,750,2 out of 4,2,Keshtopur,4,2,1,1,2,2.0,4.0,991
2022-06-07,2,15000,1500,1 out of 2,2,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",4,2,2,2,2,1.0,2.0,313
2022-04-29,1,9000,900,Ground out of 1,2,Keshtopur,4,2,1,2,2,0.0,1.0,991
2022-07-03,0,24000,710,1 out of 1,2,Salt Lake City Sector 1,4,0,0,1,0,1.0,1.0,1759
2022-05-26,0,5500,400,Ground out of 3,1,jadavpur central park east,4,2,1,1,2,0.0,3.0,2198
2022-06-24,0,10000,700,1 out of 2,1,Garia,4,2,0,1,2,1.0,2.0,611
2022-07-03,1,15000,1000,Ground out of 2,1,Tn Chatterjee Street,4,1,1,1,2,0.0,2.0,2007
2022-06-12,0,4700,250,1 out of 2,2,Kaikhali,4,0,1,1,2,1.0,2.0,900
2022-05-14,0,5000,500,Ground out of 3,1,Bata Nagar,4,1,1,1,2,0.0,3.0,249
2022-05-20,1,5000,450,2 out of 2,1,Birati,4,1,1,1,2,2.0,2.0,312
2022-06-27,2,15000,1400,1 out of 3,2,Survey Park,4,2,1,1,2,1.0,3.0,1938
2022-05-14,0,5000,500,1 out of 1,1,Bata Nagar,4,1,1,1,2,1.0,1.0,249
2022-06-17,1,6000,700,Ground out of 1,1,Hatiara Extention,4,2,1,1,2,0.0,1.0,704
2022-06-04,2,18000,1200,1 out of 3,1,Salt Lake City Sector 1,4,1,1,1,2,1.0,3.0,1759
2022-06-21,1,8000,450,1 out of 2,1,Andul,4,2,0,1,2,1.0,2.0,116
2022-06-23,0,13000,500,2 out of 2,1,Salt Lake City Sector 2,4,0,0,1,0,2.0,2.0,1760
2022-07-02,1,7500,400,Ground out of 1,1,locality,4,2,1,1,2,0.0,1.0,2202
2022-04-24,2,12000,1000,Ground out of 1,2,Khardah,4,2,1,2,2,0.0,1.0,1001
2022-06-04,1,11000,750,Ground out of 1,1,Parnasree Pally,4,2,0,1,2,0.0,1.0,1498
2022-06-24,0,6000,450,Ground out of 2,2,Baghajatin,4,2,2,1,2,0.0,2.0,196
2022-06-19,2,20000,1000,1 out of 2,1,Salt Lake City Sector 3,4,2,0,2,0,1.0,2.0,1761
2022-07-03,1,7000,500,1 out of 1,1,sarsuna banerjee para,4,2,0,2,2,1.0,1.0,2216
2022-06-19,3,30000,1600,Ground out of 1,1,Salt Lake City Sector 3,4,2,0,2,0,0.0,1.0,1761
2022-07-02,1,7500,550,Ground out of 1,1,Near Seven Tanks Road Dumdum Station,4,2,0,1,2,0.0,1.0,1367
2022-06-21,0,6500,550,1 out of 2,2,Jyangra,4,2,1,2,2,1.0,2.0,873
2022-06-04,0,3000,200,2 out of 3,2,Barasat,4,2,1,1,2,2.0,3.0,237
2022-06-30,1,5200,650,1 out of 2,1,Sukchar,4,2,0,1,2,1.0,2.0,1920
2022-06-22,1,25000,1000,1 out of 1,2,"Tagore Park, Kasba",4,0,1,2,2,1.0,1.0,1953
2022-05-27,1,12500,680,Ground out of 2,1,Barrackpore,4,2,1,2,2,0.0,2.0,239
2022-06-17,1,8500,720,Ground out of 1,1,"Silpara, Purba Barisha",4,2,1,2,2,0.0,1.0,1861
2022-06-20,1,3500,500,4 out of 5,1,Konnagar,4,2,0,1,2,4.0,5.0,1029
2022-06-30,1,7000,800,Ground out of 2,2,Madhyam Gram,4,2,1,1,2,0.0,2.0,1150
2022-05-19,0,3000,160,Ground out of 1,2,"Kudghat, Ashok Nagar",4,2,1,1,2,0.0,1.0,1052
2022-06-19,1,14000,1200,1 out of 2,1,Salt Lake City Sector 5,4,2,1,2,0,1.0,2.0,1762
2022-06-17,0,18000,700,Ground out of 4,2,Salt Lake City Sector 3,4,0,1,1,2,0.0,4.0,1761
2022-06-13,0,3500,1000,Ground out of 1,2,Dum Dum Cantonment,4,1,1,1,2,0.0,1.0,523
2022-06-16,1,16000,1250,Ground out of 1,2,Kasba,4,2,1,2,0,0.0,1.0,964
2022-05-06,3,35000,1600,Ground out of 3,2,Salt Lake City,4,2,1,3,2,0.0,3.0,1758
2022-06-04,1,21000,700,Ground out of 2,2,Lake Gardens,4,1,1,1,2,0.0,2.0,1084
2022-06-16,0,4500,450,Ground out of 2,2,"Silpara, Purba Barisha",4,2,1,1,2,0.0,2.0,1861
2022-06-04,1,15000,839,1 out of 3,2,Howrah,4,1,1,2,2,1.0,3.0,755
2022-07-01,0,4500,230,Ground out of 3,2,Birati,4,2,1,1,2,0.0,3.0,312
2022-05-06,0,5500,1800,Ground out of 2,2,Baranagar,4,2,1,1,2,0.0,2.0,236
2022-05-10,1,8500,800,1 out of 2,2,Baguihati,4,2,1,2,2,1.0,2.0,198
2022-05-27,0,5000,500,Ground out of 1,1,BRAHMAPUR NEAR BANSDRONI,4,1,1,1,2,0.0,1.0,184
2022-05-22,1,8500,620,Ground out of 1,1,Kasba,4,2,0,1,2,0.0,1.0,964
2022-04-24,1,9000,650,2 out of 3,1,tollygunge Kabardanga,4,2,1,1,2,2.0,3.0,2229
2022-05-23,0,7500,550,1 out of 2,2,"Naktala, Garia",4,1,1,1,0,1.0,2.0,1333
2022-04-23,1,7000,450,1 out of 3,1,safuipara,4,0,0,2,2,1.0,3.0,2214
2022-04-24,2,15000,1350,1 out of 2,1,"Annapurna Apartment, Rajarhat Chowmatha",4,2,2,2,2,1.0,2.0,126
2022-05-06,1,7000,600,2 out of 2,2,"Park Circus, Ballygunge",4,1,1,2,2,2.0,2.0,1494
2022-05-31,2,10000,1200,2 out of 4,2,Belghoria,4,0,1,1,2,2.0,4.0,265
2022-06-25,1,7000,700,1 out of 2,2,"Haridevpur, Paschim Putiary",4,2,1,1,0,1.0,2.0,698
2022-06-27,2,3200,800,1 out of 3,1,Bhawanipur,4,0,1,2,2,1.0,3.0,295
2022-06-19,1,6000,600,Ground out of 3,1,Santoshpur,4,1,1,1,2,0.0,3.0,1780
2022-06-19,1,12000,900,1 out of 3,2,Tollygunge,4,2,1,2,2,1.0,3.0,2009
2022-05-31,1,6000,750,Ground out of 1,2,Behala,4,2,1,1,2,0.0,1.0,260
2022-07-01,2,10000,1250,1 out of 2,2,Jaffarpore Rifle Range Road,4,2,1,2,2,1.0,2.0,819
2022-05-31,2,12000,1000,2 out of 2,2,Dariya,4,1,1,3,2,2.0,2.0,461
2022-06-03,1,8000,600,Ground out of 2,2,Howrah,4,1,1,1,2,0.0,2.0,755
